,0
0,1.0264422938964313
1,1.0291714657566522
2,2.352295747313264
3,1.5612823889628975
4,-1.1494087230715762
5,-1.214751505460095
6,0.6124392700148517
7,-0.5929482833238399
8,2.3287935878912536
9,-0.5795227413569793
10,1.926141835442671
11,-0.7483418615239024
12,0.6417836996866085
13,-0.6796642584084699
14,0.4347527236544077
15,0.043987916470822
16,-0.0974355120645901
17,1.2222887643418685
18,0.4618792524626391
19,0.5489867696710935
20,-0.8649668592108686
21,2.8083020894484467
22,0.5895229795610409
23,3.1089819588879277
24,2.540200370838519
25,-4.920128815887995
26,0.8596383160320451
27,1.2291441683891873
28,2.61570390876689
29,-0.139244031545262
30,0.0398088404184426
31,-0.573113269808914
32,2.582745735882194
33,2.112008887881898
34,-1.7809632332361922
35,1.31882740713374
36,-3.1207611880198627
37,2.27849607889161
38,0.8313148136316167
39,-0.1893394667691308
40,0.0
41,2.639857907274519
42,-0.3107692039005419
43,2.302310511660713
44,0.4291103871347634
45,0.1747705347348902
46,-0.4623922812023395
47,1.6412949876951484
48,0.6853810220820538
49,-1.2381205241655198
50,-0.2022328544008383
51,2.0855007188622454
52,-1.389783386362725
53,0.280544869054716
54,-4.658500153729441
55,-0.2480414044538873
56,2.342385422293343
57,-1.656395593285472
58,1.898676887538684
59,1.2027756962507592
60,9.956361476263051
61,2.4885380225521563
62,0.6655934936329366
63,0.3618070518542173
64,3.429439786217403
65,-2.299821819177895
66,1.4430217487349355
67,-3.019106442617194
68,3.269404690627549
69,1.754255910613966
70,-0.0891459273329117
71,-0.2614336809410322
72,0.8298417394513721
73,0.1253873805192102
74,2.1946986248709
75,5.024853524743539
76,1.1889267193855906
77,-0.8237576520283356
78,1.3507325736852769
79,-1.2026283197828271
80,-0.1621236332504311
81,3.334986781656023
82,3.905975849109226
83,-2.093597023849648
84,-8.344791006423998
85,0.0661673635583037
86,-6.966621250877017
87,3.911149711307057
88,-3.3190468706795992
89,-1.321581348738054
90,2.955879351239861
91,0.1559085236222585
92,-2.99579493534498
93,-1.6092424562848606
94,-3.223407180668192
95,2.987509519677846
96,1.5593494696071746
97,-4.285121705533957
98,1.021657920761416
99,3.68293449037833
100,2.3588619949947818
101,-0.7596669043216219
102,1.4963177194626909
103,0.8426725603683097
